연도,공장,공정,월,가동시간,정지횟수,정지시간,MTBF,MTTR
2024,F1,54인치,1,10985,1,263,183.0833333,4.383333333
2024,F1,54인치,2,11583,4,465,48.2625,1.9375
2024,F1,54인치,3,10297,3,360,57.20555556,2
2024,F1,54인치,4,9820,2,167,81.83333333,1.391666667
2024,F1,54인치,5,11243,1,252,187.3833333,4.2
2024,F1,54인치,6,10499,0,0,0,0
2024,F1,54인치,7,11669,0,0,0,0
2024,F1,54인치,8,11206,0,0,0,0
2024,F1,54인치,9,9796,0,0,0,0
2024,F1,54인치,10,12466,0,0,0,0
2024,F1,54인치,11,7325,0,0,0,0
2024,F1,54인치,12,12441,0,0,0,0
2024,F1,MSC,1,8008,3,145,44.48888889,0.805555556
2024,F1,MSC,2,5667,1,15,94.45,0.25
2024,F1,MSC,3,7793,1,150,129.8833333,2.5
2024,F1,MSC,4,4332,0,0,0,0
2024,F1,MSC,5,6481,0,0,0,0
2024,F1,MSC,6,8611,1,20,143.5166667,0.333333333
2024,F1,MSC,7,8407,1,30,140.1166667,0.5
2024,F1,MSC,8,2770,0,0,0,0
2024,F1,MSC,9,8225,0,0,0,0
2024,F1,MSC,10,4938,0,0,0,0
2024,F1,MSC,11,9025,2,111,75.20833333,0.925
2024,F1,MSC,12,9361,0,0,0,0
2024,F2,라미네이팅,1,11059,0,0,0,0
2024,F2,라미네이팅,2,9819,1,20,163.65,0.333333333
2024,F2,라미네이팅,3,9110,0,0,0,0
2024,F2,라미네이팅,4,10496,0,0,0,0
2024,F2,라미네이팅,5,8407,0,0,0,0
2024,F2,라미네이팅,6,9016,0,0,0,0
2024,F2,라미네이팅,7,9398,0,0,0,0
2024,F2,라미네이팅,8,7507,1,33,125.1166667,0.55
2024,F2,라미네이팅,9,9282,0,0,0,0
2024,F2,라미네이팅,10,7612,0,0,0,0
2024,F2,라미네이팅,11,8429,0,0,0,0
2024,F2,라미네이팅,12,8518,1,35,141.9666667,0.583333333
2024,F2,슈퍼코팅,1,4964,0,0,0,0
2024,F2,슈퍼코팅,2,5511,0,0,0,0
2024,F2,슈퍼코팅,3,4487,0,0,0,0
2024,F2,슈퍼코팅,4,6957,1,45,115.95,0.75
2024,F2,슈퍼코팅,5,6395,0,0,0,0
2024,F2,슈퍼코팅,6,5346,0,0,0,0
2024,F2,슈퍼코팅,7,7056,0,0,0,0
2024,F2,슈퍼코팅,8,4861,0,0,0,0
2024,F2,슈퍼코팅,9,6996,0,0,0,0
2024,F2,슈퍼코팅,10,7184,1,40,119.7333333,0.666666667
2024,F2,슈퍼코팅,11,6581,0,0,0,0
2024,F2,슈퍼코팅,12,8545,1,20,142.4166667,0.333333333
2024,F2,텐타 2호기,1,20478,0,0,0,0
2024,F2,텐타 2호기,2,14646,2,590,122.05,4.916666667
2024,F2,텐타 2호기,3,20865,2,170,173.875,1.416666667
2024,F2,텐타 2호기,4,14861,1,30,247.6833333,0.5
2024,F2,텐타 2호기,5,16457,2,81,137.1416667,0.675
2024,F2,텐타 2호기,6,20485,0,0,0,0
2024,F2,텐타 2호기,7,21750,0,0,0,0
2024,F2,텐타 2호기,8,17762,2,180,148.0166667,1.5
2024,F2,텐타 2호기,9,17590,1,45,293.1666667,0.75
2024,F2,텐타 2호기,10,17169,3,223,95.38333333,1.238888889
2024,F2,텐타 2호기,11,20814,1,40,346.9,0.666666667
2024,F2,텐타 2호기,12,21678,1,79,361.3,1.316666667
2024,F2,포가공 1호기,1,17351,0,0,0,0
2024,F2,포가공 1호기,2,18149,0,0,0,0
2024,F2,포가공 1호기,3,16940,0,0,0,0
2024,F2,포가공 1호기,4,23070,1,50,384.5,0.833333333
2024,F2,포가공 1호기,5,19762,1,31,329.3666667,0.516666667
2024,F2,포가공 1호기,6,22567,0,0,0,0
2024,F2,포가공 1호기,7,24950,0,0,0,0
2024,F2,포가공 1호기,8,15224,3,410,84.57777778,2.277777778
2024,F2,포가공 1호기,9,20350,0,0,0,0
2024,F2,포가공 1호기,10,22281,0,0,0,0
2024,F2,포가공 1호기,11,24002,0,0,0,0
2024,F2,포가공 1호기,12,22487,1,37,374.7833333,0.616666667
2024,F2,포가공 2호기,1,21599,0,0,0,0
2024,F2,포가공 2호기,2,15811,0,0,0,0
2024,F2,포가공 2호기,3,16736,1,50,278.9333333,0.833333333
2024,F2,포가공 2호기,4,21830,0,0,0,0
2024,F2,포가공 2호기,5,17557,0,0,0,0
2024,F2,포가공 2호기,6,24426,0,0,0,0
2024,F2,포가공 2호기,7,20528,0,0,0,0
2024,F2,포가공 2호기,8,17237,0,0,0,0
2024,F2,포가공 2호기,9,19227,0,0,0,0
2024,F2,포가공 2호기,10,21375,0,0,0,0
2024,F2,포가공 2호기,11,22915,1,60,381.9166667,1
2024,F2,포가공 2호기,12,23694,1,30,394.9,0.5
2024,F2,포생산,1,16474,1,60,274.5666667,1
2024,F2,포생산,2,13809,1,20,230.15,0.333333333
2024,F2,포생산,3,14711,3,180,81.72777778,1
2024,F2,포생산,4,15970,2,100,133.0833333,0.833333333
2024,F2,포생산,5,15348,3,75,85.26666667,0.416666667
2024,F2,포생산,6,18516,1,60,308.6,1
2024,F2,포생산,7,19995,2,120,166.625,1
2024,F2,포생산,8,14211,4,170,59.2125,0.708333333
2024,F2,포생산,9,14358,3,120,79.76666667,0.666666667
2024,F2,포생산,10,16707,0,0,0,0
2024,F2,포생산,11,18381,2,180,153.175,1.5
2024,F2,포생산,12,18424,3,180,102.3555556,1
2025,F1,54인치,1,6807,0,0,0,0
2025,F1,54인치,2,6691,1,137,111.5166667,2.283333333
2025,F1,54인치,3,6964,0,0,0,0
2025,F1,54인치,4,9715,0,0,0,0
2025,F1,54인치,5,6224,1,36,103.7333333,0.6
2025,F1,54인치,6,7378,1,50,122.9666667,0.833333333
2025,F1,54인치,7,8404,1,41,140.0666667,0.683333333
2025,F1,54인치,8,6350,0,0,0,0
2025,F1,54인치,9,7863,1,100,131.05,1.666666667
2025,F1,54인치,10,6381,0,0,0,0
2025,F1,54인치,11,8264,0,0,0,0
2025,F1,54인치,12,8295,0,0,0,0
2025,F1,MSC,1,7202,1,20,120.0333333,0.333333333
2025,F1,MSC,2,5756,0,0,0,0
2025,F1,MSC,3,6267,1,260,104.45,4.333333333
2025,F1,MSC,4,6060,0,0,0,0
2025,F1,MSC,5,4156,0,0,0,0
2025,F1,MSC,6,4256,0,0,0,0
2025,F1,MSC,7,4753,0,0,0,0
2025,F1,MSC,8,2725,0,0,0,0
2025,F1,MSC,9,5100,1,230,85,3.833333333
2025,F1,MSC,10,5132,2,60,42.76666667,0.5
2025,F1,MSC,11,5833,0,0,0,0
2025,F1,MSC,12,4654,0,0,0,0
2025,F2,라미네이팅,1,9672,1,34,161.2,0.566666667
2025,F2,라미네이팅,2,8016,0,0,0,0
2025,F2,라미네이팅,3,9091,1,30,151.5166667,0.5
2025,F2,라미네이팅,4,8641,0,0,0,0
2025,F2,라미네이팅,5,8171,0,0,0,0
2025,F2,라미네이팅,6,9311,0,0,0,0
2025,F2,라미네이팅,7,10543,0,0,0,0
2025,F2,라미네이팅,8,4723,0,0,0,0
2025,F2,라미네이팅,9,8926,0,0,0,0
2025,F2,라미네이팅,10,5190,1,154,86.5,2.566666667
2025,F2,라미네이팅,11,7049,1,15,117.4833333,0.25
2025,F2,라미네이팅,12,6847,0,0,0,0
2025,F2,슈퍼코팅,1,6429,0,0,0,0
2025,F2,슈퍼코팅,2,5194,0,0,0,0
2025,F2,슈퍼코팅,3,8131,1,30,135.5166667,0.5
2025,F2,슈퍼코팅,4,5881,1,139,98.01666667,2.316666667
2025,F2,슈퍼코팅,5,5633,0,0,0,0
2025,F2,슈퍼코팅,6,6220,1,162,103.6666667,2.7
2025,F2,슈퍼코팅,7,6988,0,0,0,0
2025,F2,슈퍼코팅,8,4103,0,0,0,0
2025,F2,슈퍼코팅,9,10765,4,75,44.85416667,0.3125
2025,F2,슈퍼코팅,10,5532,2,33,46.1,0.275
2025,F2,슈퍼코팅,11,8331,1,20,138.85,0.333333333
2025,F2,슈퍼코팅,12,6279,1,30,104.65,0.5
2025,F2,텐타 2호기,1,22062,0,0,0,0
2025,F2,텐타 2호기,2,16478,0,0,0,0
2025,F2,텐타 2호기,3,16751,0,0,0,0
2025,F2,텐타 2호기,4,20702,2,130,172.5166667,1.083333333
2025,F2,텐타 2호기,5,11637,0,0,0,0
2025,F2,텐타 2호기,6,21291,1,90,354.85,1.5
2025,F2,텐타 2호기,7,18160,3,160,100.8888889,0.888888889
2025,F2,텐타 2호기,8,10616,3,402,58.97777778,2.233333333
2025,F2,텐타 2호기,9,24536,1,60,408.9333333,1
2025,F2,텐타 2호기,10,17294,0,,0,0
2025,F2,텐타 2호기,11,5443,1,20,90.71666667,0.333333333
2025,F2,텐타 2호기,12,0,0,0,0,0
2025,F2,포가공 1호기,1,23734,2,91,197.7833333,0.758333333
2025,F2,포가공 1호기,2,20299,0,0,0,0
2025,F2,포가공 1호기,3,19889,0,0,0,0
2025,F2,포가공 1호기,4,22313,1,35,371.8833333,0.583333333
2025,F2,포가공 1호기,5,19817,1,45,330.2833333,0.75
2025,F2,포가공 1호기,6,24720,0,0,0,0
2025,F2,포가공 1호기,7,22684,0,0,0,0
2025,F2,포가공 1호기,8,15732,0,0,0,0
2025,F2,포가공 1호기,9,22232,0,0,0,0
2025,F2,포가공 1호기,10,9966,2,144,83.05,1.2
2025,F2,포가공 1호기,11,17277,2,62,143.975,0.516666667
2025,F2,포가공 1호기,12,20931,3,105,116.2833333,0.583333333
2025,F2,포가공 2호기,1,24449,2,182,203.7416667,1.516666667
2025,F2,포가공 2호기,2,14757,1,30,245.95,0.5
2025,F2,포가공 2호기,3,14603,0,0,0,0
2025,F2,포가공 2호기,4,21632,1,25,360.5333333,0.416666667
2025,F2,포가공 2호기,5,17286,1,49,288.1,0.816666667
2025,F2,포가공 2호기,6,24243,0,0,0,0
2025,F2,포가공 2호기,7,18678,0,0,0,0
2025,F2,포가공 2호기,8,12594,0,0,0,0
2025,F2,포가공 2호기,9,24063,0,0,0,0
2025,F2,포가공 2호기,10,18041,0,,0,0
2025,F2,포가공 2호기,11,15935,1,30,265.5833333,0.5
2025,F2,포가공 2호기,12,13808,0,0,0,0
2025,F2,포생산,1,18677,5,276,62.25666667,0.92
2025,F2,포생산,2,16361,1,25,272.6833333,0.416666667
2025,F2,포생산,3,13226,8,580,27.55416667,1.208333333
2025,F2,포생산,4,19387,1,30,323.1166667,0.5
2025,F2,포생산,5,15751,3,360,87.50555556,2
2025,F2,포생산,6,18288,5,390,60.96,1.3
2025,F2,포생산,7,19023,11,650,28.82272727,0.984848485
2025,F2,포생산,8,11668,3,85,64.82222222,0.472222222
2025,F2,포생산,9,17852,8,340,37.19166667,0.708333333
2025,F2,포생산,10,14868,5,99,49.56,0.33
2025,F2,포생산,11,14324,10,294,23.87333333,0.49
2025,F2,포생산,12,13888,11,233,21.04242424,0.353030303
2026,F1,54인치,1,8165,0,0,0,0
2026,F1,54인치,2,12008,0,0,0,0
2026,F1,54인치,3,11417,5,212,38.05666667,0.706666667
2026,F1,54인치,4,,,,0,0
2026,F1,54인치,5,,,,0,0
2026,F1,54인치,6,,,,0,0
2026,F1,54인치,7,,,,0,0
2026,F1,54인치,8,,,,0,0
2026,F1,54인치,9,,,,0,0
2026,F1,54인치,10,,,,0,0
2026,F1,54인치,11,,,,0,0
2026,F1,54인치,12,,,,0,0
2026,F1,MSC,1,5793,0,0,0,0
2026,F1,MSC,2,5003,0,0,0,0
2026,F1,MSC,3,5733,0,0,0,0
2026,F1,MSC,4,,,,0,0
2026,F1,MSC,5,,,,0,0
2026,F1,MSC,6,,,,0,0
2026,F1,MSC,7,,,,0,0
2026,F1,MSC,8,,,,0,0
2026,F1,MSC,9,,,,0,0
2026,F1,MSC,10,,,,0,0
2026,F1,MSC,11,,,,0,0
2026,F1,MSC,12,,,,0,0
2026,F2,라미네이팅,1,5001.089683,2,90,0,0
2026,F2,라미네이팅,2,6312.720446,0,0,0,0
2026,F2,라미네이팅,3,10431.31276,0,0,0,0
2026,F2,라미네이팅,4,,,,0,0
2026,F2,라미네이팅,5,,,,0,0
2026,F2,라미네이팅,6,,,,0,0
2026,F2,라미네이팅,7,,,,0,0
2026,F2,라미네이팅,8,,,,0,0
2026,F2,라미네이팅,9,,,,0,0
2026,F2,라미네이팅,10,,,,0,0
2026,F2,라미네이팅,11,,,,0,0
2026,F2,라미네이팅,12,,,,0,0
2026,F2,슈퍼코팅,1,4605.953562,0,0,0,0
2026,F2,슈퍼코팅,2,3529.666772,2,194,0,0
2026,F2,슈퍼코팅,3,6580.332598,0,0,0,0
2026,F2,슈퍼코팅,4,,,,0,0
2026,F2,슈퍼코팅,5,,,,0,0
2026,F2,슈퍼코팅,6,,,,0,0
2026,F2,슈퍼코팅,7,,,,0,0
2026,F2,슈퍼코팅,8,,,,0,0
2026,F2,슈퍼코팅,9,,,,0,0
2026,F2,슈퍼코팅,10,,,,0,0
2026,F2,슈퍼코팅,11,,,,0,0
2026,F2,슈퍼코팅,12,,,,0,0
2026,F2,텐타 2호기,1,0,0,0,0,0
2026,F2,텐타 2호기,2,0,0,0,0,0
2026,F2,텐타 2호기,3,0,0,0,0,0
2026,F2,텐타 2호기,4,,,,0,0
2026,F2,텐타 2호기,5,,,,0,0
2026,F2,텐타 2호기,6,,,,0,0
2026,F2,텐타 2호기,7,,,,0,0
2026,F2,텐타 2호기,8,,,,0,0
2026,F2,텐타 2호기,9,,,,0,0
2026,F2,텐타 2호기,10,,,,0,0
2026,F2,텐타 2호기,11,,,,0,0
2026,F2,텐타 2호기,12,,,,0,0
2026,F2,포가공 1호기,1,19806.0422,0,0,0,0
2026,F2,포가공 1호기,2,18301.2081,1,30,0,0.5
2026,F2,포가공 1호기,3,18540.23045,1,80,0,1.333333333
2026,F2,포가공 1호기,4,,,,0,0
2026,F2,포가공 1호기,5,,,,0,0
2026,F2,포가공 1호기,6,,,,0,0
2026,F2,포가공 1호기,7,,,,0,0
2026,F2,포가공 1호기,8,,,,0,0
2026,F2,포가공 1호기,9,,,,0,0
2026,F2,포가공 1호기,10,,,,0,0
2026,F2,포가공 1호기,11,,,,0,0
2026,F2,포가공 1호기,12,,,,0,0
2026,F2,포가공 2호기,1,12755.85373,0,0,0,0
2026,F2,포가공 2호기,2,12975.58404,0,0,0,0
2026,F2,포가공 2호기,3,19585.28742,0,0,0,0
2026,F2,포가공 2호기,4,,,,0,0
2026,F2,포가공 2호기,5,,,,0,0
2026,F2,포가공 2호기,6,,,,0,0
2026,F2,포가공 2호기,7,,,,0,0
2026,F2,포가공 2호기,8,,,,0,0
2026,F2,포가공 2호기,9,,,,0,0
2026,F2,포가공 2호기,10,,,,0,0
2026,F2,포가공 2호기,11,,,,0,0
2026,F2,포가공 2호기,12,,,,0,0
2026,F2,포생산,1,12465.57506,5,211,0,0
2026,F2,포생산,2,12207.63958,7,416,0,0
2026,F2,포생산,3,17212.97337,5,105,0,0
2026,F2,포생산,4,,,,0,0
2026,F2,포생산,5,,,,0,0
2026,F2,포생산,6,,,,0,0
2026,F2,포생산,7,,,,0,0
2026,F2,포생산,8,,,,0,0
2026,F2,포생산,9,,,,0,0
2026,F2,포생산,10,,,,0,0
2026,F2,포생산,11,,,,0,0
2026,F2,포생산,12,,,,0,0
